,,,,DS1,,,DS2,,,DS3,,,DS4,,
B.20.22.082,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.083,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.22.084,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.22.091,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.22.101,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.22.201,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.23.001,Storefront,Each (5'x6' Panel),,385,434,44,,,,,,,,,
B.20.23.002,,Each (5'x6' Panel),,385,434,44,,,,,,,,,
B.20.23.011,,Each (5'x6' Panel),,385,434,44,,,,,,,,,
B.20.23.021,,Each (5'x6' Panel),,385,434,44,,,,,,,,,
B.20.23.031,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.23.032,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.23.033,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.23.034,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.23.041,,Each (5'x6' Panel),,385,434,44,,,,,,,,,
B.20.23.051,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.23.052,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.23.053,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.23.054,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.23.055,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.23.056,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.23.057,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.23.058,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.30.11.011,Tile roof,100 ft^2 Units,,350,130,13,1036,130,13,,,,,,
B.30.11.012,,100 ft^2 Units,,512.5,50,5,1400,50,5,,,,,,
B.30.11.013,,100 ft^2 Units,,312.5,10,1,721,10,1,,,,,,
B.30.11.014,,100 ft^2 Units,,475,10,1,1085,10,1,,,,,,
B.30.31.001a,Masonry Chimney,Each,,3612.5,5,1,5057.5,5,1,,,,,,
B.30.31.001b,,Each,,5600,5,1,7840,5,1,,,,,,
B.30.31.001c,,Each,,7587.5,5,1,10622.5,5,1,,,,,,
B.30.31.002a,,Each,,4567.5,5,1,4567.5,5,1,,,,,,
B.30.31.002b,,Each,,6860,5,1,6860,5,1,,,,,,
B.30.31.002c,,Each,,9152.5,5,1,9152.5,5,1,,,,,,
B.30.41.001,Masonry Parapet,LF 10,,378,50,10,378,50,10,,,,,,
C.10.11.001a,Wall partition,1300 ft^2,,1249.5,10,1,3185,10,1,3062.5,10,1,,,
C.10.11.001b,,1300 ft^2,,2499,10,1,6370,10,1,12250,10,1,,,
C.10.11.001c,,1300 ft^2,,999.6,10,1,2548,10,1,4900,10,1,,,
C.10.11.001d,,1300 ft^2,,1249.5,10,1,3185,10,1,,,,,,
C.10.11.011a,,1300 ft^2,,3038,10,1,7770,10,1,23730,10,1,,,
C.20.11.001a,Steel stairs,1300 ft^2,,3038,10,1,7770,10,1,23730,10,1,,,
C.20.11.001b,,1300 ft^2,,3038,10,1,7770,10,1,26320,10,1,,,
C.20.11.011a,Concrete stairs,Each,,980,10,5,5180,10,5,32130,10,5,,,
C.20.11.011b,,Each,,980,10,5,5180,10,5,32130,10,5,,,
C.20.11.021a,,Each,,350,10,3,1295,10,3,8732.5,10,3,,,
C.20.11.021b,,Each,,280,10,3,1480,10,3,9980,10,3,,,
C.20.11.021c,,Each,,350,10,3,1295,10,3,8732.5,10,3,,,
C.20.11.021d,,Each,,280,10,3,1480,10,3,9980,10,3,,,
C.20.11.031a,Hybrid stair assembly,Each,,160,10,3,1080,10,3,8380,10,3,,,
C.20.11.031b,,Each,,160,10,3,1080,10,3,8380,10,3,,,
C.30.11.001a,Wall partition + cover,Each (9'x100' Panel),,1080,3,1,,,,,,,,,
C.30.11.001b,,Each (9'x100' Panel),,1080,3,1,,,,,,,,,
C.30.11.001c,,Each (9'x100' Panel),,1080,3,1,,,,,,,,,
C.30.11.001d,,Each (9'x100' Panel),,1080,3,1,,,,,,,,,
C.30.11.002a,,Each (9'x100' Panel),,2880,3,1,11664,3,1,,,,,,
C.30.11.002b,,Each (9'x100' Panel),,2880,3,1,11664,3,1,,,,,,
C.30.11.002c,,Each (9'x100' Panel),,2880,3,1,11664,3,1,,,,,,
C.30.11.002d,,Each (9'x100' Panel),,2880,3,1,11664,3,1,,,,,,
C.30.11.003a,,Each (9'x100' Panel),,25200,3,1,63000,3,1,,,,,,
C.30.11.003b,,Each (9'x100' Panel),,25200,3,1,63000,3,1,,,,,,
C.30.11.003c,,Each (9'x100' Panel),,25200,3,1,63000,3,1,,,,,,
C.30.11.003d,,Each (9'x100' Panel),,25200,3,1,63000,3,1,,,,,,
C.30.21.001a,Floor flooding,Each (1'x1'),,43.456,2000,500,,,,,,,,,
C.30.21.001b,,Each (1'x1'),,74.536,2000,500,,,,,,,,,
C.30.21.001c,,Each (1'x1'),,61.95,2000,500,,,,,,,,,
C.30.21.001d,,Each (1'x1'),,141.12,2000,500,,,,,,,,,
C.30.21.001e,,Each (1'x1'),,54.04,2000,500,,,,,,,,,
C.30.21.001f,,Each (1'x1'),,156.52,2000,500,,,,,,,,,
C.30.21.001g,,Each (1'x1'),,24.304,2000,500,,,,,,,,,
C.30.21.001h,,Each (1'x1'),,64.68,2000,500,,,,,,,,,
C.30.21.001i,,Each (1'x1'),,37.1,2000,500,,,,,,,,,
C.30.21.001j,,Each (1'x1'),,102.76,2000,500,,,,,,,,,
C.30.21.001k,,Each (1'x1'),,41.16,2000,500,,,,,,,,,
C.30.21.001l,,Each (1'x1'),,69.16,2000,500,,,,,,,,,
C.30.21.001m,,Each (1'x1'),,14.07,2000,500,,,,,,,,,
C.30.21.001n,,Each (1'x1'),,33.6,2000,500,,,,,,,,,
C.30.21.001o,,Each (1'x1'),,39.06,2000,500,,,,,,,,,
C.30.21.001p,,Each (1'x1'),,28.08,2000,500,,,,,,,,,
C.30.27.001,Raised access floor,100 ft^2 Units,,46,20,5,,,,,,,,,
C.30.27.002,,100 ft^2 Units,,46,20,5,,,,,,,,,
C.30.32.001a,Suspended Ceiling,250 ft^2 Units,,145,10,1,1135,10,1,2335,10,1,,,
C.30.32.001b,,600 ft^2 Units,,348,10,1,2724,10,1,5604,10,1,,,
C.30.32.001c,,1800 ft^2 Units,,1044,10,1,8172,10,1,16812,10,1,,,
C.30.32.001d,,2500 ft^2 Units,,1450,10,1,11350,10,1,23350,10,1,,,
C.30.32.003a,,250 ft^2 Units,,507.5,10,1,3972.5,10,1,8172.5,10,1,,,
C.30.32.003b,,600 ft^2 Units,,1218,10,1,9534,10,1,19614,10,1,,,
C.30.32.003c,,1800 ft^2 Units,,3654,10,1,28602,10,1,58842,10,1,,,
C.30.32.003d,,2500 ft^2 Units,,5075,10,1,39725,10,1,81725,10,1,,,
C.30.32.004a,,250 ft^2 Units,,507.5,10,1,3972.5,10,1,8172.5,10,1,,,
C.30.32.004b,,600 ft^2 Units,,1218,10,1,9534,10,1,19614,10,1,,,
C.30.32.004c,,1800 ft^2 Units,,3654,10,1,28602,10,1,58842,10,1,,,
C.30.32.004d,,2500 ft^2 Units,,5075,10,1,39725,10,1,81725,10,1,,,
C.30.34.001,Independent pendant lighting,Each,,1.61,10,5,,,,,,,,,
C.30.34.002,,Each,,693,10,5,,,,,,,,,
D.10.14.011,Elevators,Each,,6160,10,5,26180,10,5,32340,10,5,22400,10,5
D.10.14.012,,Each,,6160,10,5,26180,10,5,32340,10,5,22400,10,5
D.10.14.021,,Each,,1120,10,5,11480,10,5,12600,10,5,16800,10,5
D.10.14.022,,Each,,1120,10,5,11480,10,5,12600,10,5,16800,10,5
D.20.21.011a,Various pipes,Each (1000 ft pipe),,58,4,1,530,4,1,,,,,,
D.20.21.011b,,Each (1000 ft pipe),,76,4,1,760,4,1,,,,,,
D.20.21.012a,,Each (1000 ft pipe),,58,4,1,530,4,1,,,,,,
D.20.21.012b,,Each (1000 ft pipe),,76,4,1,760,4,1,,,,,,
D.20.21.013a,,Each (1000 ft pipe),,58,10,3,530,10,3,,,,,,
D.20.21.013b,,Each (1000 ft pipe),,76,10,3,,,,,,,,,
D.20.21.014a,,Each (1000 ft pipe),,58,10,3,530,10,3,,,,,,
D.20.21.014b,,Each (1000 ft pipe),,76,10,3,,,,,,,,,
D.20.21.021a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.21.022a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.21.023a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.21.023b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.20.21.024a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.21.024b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.20.22.011a,,Each (1000 ft pipe),,58,4,1,530,4,1,,,,,,
D.20.22.011b,,Each (1000 ft pipe),,76,4,1,760,4,1,,,,,,
D.20.22.012a,,Each (1000 ft pipe),,58,4,1,530,4,1,,,,,,
D.20.22.012b,,Each (1000 ft pipe),,76,4,1,760,4,1,,,,,,
D.20.22.013a,,Each (1000 ft pipe),,58,10,3,530,10,3,,,,,,
D.20.22.013b,,Each (1000 ft pipe),,76,10,3,,,,,,,,,
D.20.22.014a,,Each (1000 ft pipe),,58,10,3,530,10,3,,,,,,
D.20.22.014b,,Each (1000 ft pipe),,76,10,3,,,,,,,,,
D.20.22.021a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.22.022a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.22.023a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.22.023b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.20.22.024a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.22.024b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.20.31.011b,,Each (1000 ft pipe),,560,10,5,3990,10,5,,,,,,
D.20.31.012b,,Each (1000 ft pipe),,560,10,5,3990,10,5,,,,,,
D.20.31.013b,,Each (1000 ft pipe),,560,10,5,,,,,,,,,
D.20.31.014b,,Each (1000 ft pipe),,560,10,5,,,,,,,,,
D.20.31.021a,,Each (1000 ft pipe),,4690,10,5,,,,,,,,,
D.20.31.021b,,Each (1000 ft pipe),,560,10,5,6090,10,5,,,,,,
D.20.31.022a,,Each (1000 ft pipe),,4690,10,5,,,,,,,,,
D.20.31.022b,,Each (1000 ft pipe),,560,10,5,6090,10,5,,,,,,
D.20.31.023a,,Each (1000 ft pipe),,4690,10,5,,,,,,,,,
D.20.31.023b,,Each (1000 ft pipe),,560,10,5,,,,,,,,,
D.20.31.024a,,Each (1000 ft pipe),,4690,10,5,,,,,,,,,
D.20.31.024b,,Each (1000 ft pipe),,560,10,5,,,,,,,,,
D.20.51.011a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.51.011b,,Each (1000 ft pipe),,76,10,5,760,10,5,,,,,,
D.20.51.012a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.51.012b,,Each (1000 ft pipe),,76,10,5,760,10,5,,,,,,
D.20.51.013a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.51.013b,,Each (1000 ft pipe),,76,10,5,,,,,,,,,
D.20.51.014a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.51.014b,,Each (1000 ft pipe),,76,10,5,,,,,,,,,
D.20.51.021a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.51.021b,,Each (1000 ft pipe),,490,10,5,,,,,,,,,
D.20.51.022a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.51.023a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.51.023b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.20.51.024a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.51.024b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.20.61.011a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.61.011b,,Each (1000 ft pipe),,76,10,5,760,10,5,,,,,,
D.20.61.012a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.61.012b,,Each (1000 ft pipe),,76,10,5,760,10,5,,,,,,
D.20.61.013a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.61.013b,,Each (1000 ft pipe),,76,10,5,,,,,,,,,
D.20.61.014a,,Each (1000 ft pipe),,58,10,5,530,10,5,,,,,,
D.20.61.014b,,Each (1000 ft pipe),,76,10,5,,,,,,,,,
D.20.61.021a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.61.022a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.61.023a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.61.023b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.20.61.024a,,Each (1000 ft pipe),,490,10,5,4690,10,5,,,,,,
D.20.61.024b,,Each (1000 ft pipe),,490,10,5,490,10,5,,,,,,
D.30.31.011a,Chiller,Each,,9240,5,1,,,,,,,,,
D.30.31.011b,,Each,,30600,5,1,,,,,,,,,
D.30.31.011c,,Each,,51040,5,1,,,,,,,,,
D.30.31.011d,,Each,,86200,5,1,,,,,,,,,
D.30.31.012a,,Each,,1400,5,1,66080,5,1,,,,,,
D.30.31.012b,,Each,,9240,5,1,,,,,,,,,
D.30.31.012c,,Each,,200,5,1,9440,5,1,9440,5,1,,,
D.30.31.012d,,Each,,2100,5,1,216300,5,1,,,,,,
D.30.31.012e,,Each,,30600,5,1,,,,,,,,,
D.30.31.012f,,Each,,300,5,1,30900,5,1,30900,5,1,,,
D.30.31.012g,,Each,,3080,5,1,360360,5,1,,,,,,
D.30.31.012h,,Each,,51040,5,1,,,,,,,,,
D.30.31.012i,,Each,,440,5,1,51480,5,1,51480,5,1,,,
D.30.31.012j,,Each,,3360,5,1,606760,5,1,,,,,,
D.30.31.012k,,Each,,86200,5,1,,,,,,,,,
D.30.31.012l,,Each,,480,5,1,86680,5,1,86680,5,1,,,
D.30.31.013a,,Each,,200,5,1,9440,5,1,,,,,,
D.30.31.013b,,Each,,9240,5,1,,,,,,,,,
D.30.31.013c,,Each,,200,5,1,9440,5,1,9440,5,1,,,
D.30.31.013d,,Each,,300,5,1,30900,5,1,,,,,,
D.30.31.013e,,Each,,30600,5,1,,,,,,,,,
D.30.31.013f,,Each,,300,5,1,30900,5,1,30900,5,1,,,
D.30.31.013g,,Each,,440,5,1,51480,5,1,,,,,,
D.30.31.013h,,Each,,51040,5,1,,,,,,,,,
D.30.31.013i,,Each,,440,5,1,51480,5,1,51480,5,1,,,
D.30.31.013j,,Each,,480,5,1,86680,5,1,,,,,,
D.30.31.013k,,Each,,86200,5,1,,,,,,,,,
D.30.31.013l,,Each,,480,5,1,86680,5,1,86680,5,1,,,
D.30.31.021a,Cooling Tower,Each,,4740,5,1,,,,,,,,,
D.30.31.021b,,Each,,15600,5,1,,,,,,,,,
D.30.31.021c,,Each,,26040,5,1,,,,,,,,,
D.30.31.021d,,Each,,43700,5,1,,,,,,,,,
D.30.31.022a,,Each,,200,5,1,4940,5,1,,,,,,
D.30.31.022b,,Each,,4740,5,1,,,,,,,,,
D.30.31.022c,,Each,,200,5,1,4940,5,1,4740,5,1,,,
D.30.31.022d,,Each,,300,5,1,15900,5,1,,,,,,
D.30.31.022e,,Each,,15600,5,1,,,,,,,,,
D.30.31.022f,,Each,,300,5,1,15900,5,1,15600,5,1,,,
D.30.31.022g,,Each,,440,5,1,26480,5,1,,,,,,
D.30.31.022h,,Each,,26040,5,1,,,,,,,,,
D.30.31.022i,,Each,,440,5,1,26480,5,1,26040,5,1,,,
D.30.31.022j,,Each,,480,5,1,44180,5,1,,,,,,
D.30.31.022k,,Each,,43700,5,1,,,,,,,,,
D.30.31.022l,,Each,,480,5,1,44180,5,1,43700,5,1,,,
D.30.31.023a,,Each,,200,5,1,4940,5,1,,,,,,
D.30.31.023b,,Each,,4740,5,1,,,,,,,,,
D.30.31.023c,,Each,,200,5,1,4940,5,1,4740,5,1,,,
D.30.31.023d,,Each,,300,5,1,15900,5,1,,,,,,
D.30.31.023e,,Each,,15600,5,1,,,,,,,,,
D.30.31.023f,,Each,,300,5,1,15900,5,1,15600,5,1,,,
D.30.31.023g,,Each,,440,5,1,26480,5,1,,,,,,
D.30.31.023h,,Each,,26040,5,1,,,,,,,,,
D.30.31.023i,,Each,,440,5,1,26480,5,1,26040,5,1,,,
D.30.31.023j,,Each,,480,5,1,44180,5,1,,,,,,
D.30.31.023k,,Each,,43700,5,1,,,,,,,,,
D.30.31.023l,,Each,,480,5,1,44180,5,1,43700,5,1,,,
D.30.32.011a,Compressor,Each,,150,5,1,540,5,1,,,,,,
D.30.32.011b,,Each,,600,5,1,1600,5,1,,,,,,
D.30.32.011c,,Each,,180,5,1,1640,5,1,,,,,,
D.30.32.011d,,Each,,800,5,1,6000,5,1,,,,,,
D.30.32.012a,,Each,,90,5,1,630,5,1,,,,,,
D.30.32.012b,,Each,,150,5,1,540,5,1,,,,,,
D.30.32.012c,,Each,,90,5,1,630,5,1,150,5,1,630,5,1
D.30.32.012d,,Each,,170,5,1,1770,5,1,,,,,,
D.30.32.012e,,Each,,600,5,1,1600,5,1,,,,,,
D.30.32.012f,,Each,,170,5,1,1770,5,1,600,5,1,1770,5,1
D.30.32.012g,,Each,,90,5,1,1730,5,1,,,,,,
D.30.32.012h,,Each,,180,5,1,1640,5,1,,,,,,
D.30.32.012i,,Each,,90,5,1,1730,5,1,180,5,1,1730,5,1
D.30.32.012j,,Each,,170,5,1,6170,5,1,,,,,,
D.30.32.012k,,Each,,800,5,1,6000,5,1,,,,,,
D.30.32.012l,,Each,,170,5,1,6170,5,1,800,5,1,6170,5,1
D.30.32.013a,,Each,,90,5,1,630,5,1,,,,,,
D.30.32.013b,,Each,,150,5,1,540,5,1,,,,,,
D.30.32.013c,,Each,,90,5,1,630,5,1,150,5,1,630,5,1
D.30.32.013d,,Each,,170,5,1,1770,5,1,,,,,,
D.30.32.013e,,Each,,600,5,1,1600,5,1,,,,,,
D.30.32.013f,,Each,,170,5,1,1770,5,1,600,5,1,1770,5,1
D.30.32.013g,,Each,,90,5,1,1730,5,1,,,,,,
D.30.32.013h,,Each,,180,5,1,1640,5,1,,,,,,
D.30.32.013i,,Each,,90,5,1,1730,5,1,180,5,1,1730,5,1
D.30.32.013j,,Each,,170,5,1,6170,5,1,,,,,,
D.30.32.013k,,Each,,800,5,1,6000,5,1,,,,,,
D.30.32.013l,,Each,,170,5,1,6170,5,1,800,5,1,6170,5,1
D.30.41.001a,HVAC Fan in Line Fan,10 Units,,1400,5,1,5400,5,1,,,,,,
D.30.41.001b,,10 Units,,1400,5,1,5400,5,1,,,,,,
D.30.41.001c,,10 Units,,1400,5,1,5400,5,1,,,,,,
D.30.41.001d,,10 Units,,1400,5,1,5400,5,1,,,,,,
D.30.41.002a,,10 Units,,1400,5,1,,,,,,,,,
D.30.41.002b,,10 Units,,1400,5,1,,,,,,,,,
D.30.41.002c,,10 Units,,1400,5,1,,,,,,,,,
D.30.41.002d,,10 Units,,1400,5,1,,,,,,,,,
D.30.41.011a,HVAC Ducting,Each (1000 ft duct),,130,5,1,1270,5,1,,,,,,
D.30.41.011b,,Each (1000 ft duct),,130,5,1,1270,5,1,,,,,,
D.30.41.011c,,Each (1000 ft duct),,130,5,1,1270,5,1,,,,,,
D.30.41.011d,,Each (1000 ft duct),,130,5,1,1270,5,1,,,,,,
D.30.41.012a,,Each (1000 ft duct),,190,5,1,1590,5,1,,,,,,
D.30.41.012b,,Each (1000 ft duct),,190,5,1,1590,5,1,,,,,,
D.30.41.012c,,Each (1000 ft duct),,190,5,1,1590,5,1,,,,,,
D.30.41.012d,,Each (1000 ft duct),,190,5,1,1590,5,1,,,,,,
D.30.41.021a,,Each (1000 ft duct),,250,5,1,3190,5,1,,,,,,
D.30.41.021b,,Each (1000 ft duct),,250,5,1,3190,5,1,,,,,,
D.30.41.021c,,Each (1000 ft duct),,250,5,1,3190,5,1,,,,,,
D.30.41.021d,,Each (1000 ft duct),,250,5,1,3190,5,1,,,,,,
D.30.41.022a,,Each (1000 ft duct),,390,5,1,4290,5,1,,,,,,
D.30.41.022b,,Each (1000 ft duct),,390,5,1,4290,5,1,,,,,,
D.30.41.022c,,Each (1000 ft duct),,390,5,1,4290,5,1,,,,,,
D.30.41.022d,,Each (1000 ft duct),,390,5,1,4290,5,1,,,,,,
D.30.41.031a,HVAC Drops / Diffusers,10 Units,,600,5,1,,,,,,,,,
D.30.41.031b,,10 Units,,600,5,1,,,,,,,,,
D.30.41.032a,,10 Units,,600,5,1,,,,,,,,,
D.30.41.032b,,10 Units,,600,5,1,,,,,,,,,
D.30.41.032c,,10 Units,,600,5,1,,,,,,,,,
D.30.41.032d,,10 Units,,600,5,1,,,,,,,,,
D.30.41.041a,Variable Air Volume box,10 Units,,3000,5,1,,,,,,,,,
D.30.41.041b,,10 Units,,3000,5,1,,,,,,,,,
D.30.41.101a,HVAC Fan in Line Fan,Each,,530,5,1,,,,,,,,,
D.30.41.102a,,Each,,140,5,1,670,5,1,,,,,,
D.30.41.102b,,Each,,530,5,1,,,,,,,,,
D.30.41.102c,,Each,,140,5,1,670,5,1,530,5,1,,,
D.30.41.103a,,Each,,140,5,1,670,5,1,,,,,,
D.30.41.103b,,Each,,530,5,1,,,,,,,,,
D.30.41.103c,,Each,,140,5,1,670,5,1,530,5,1,,,
D.30.52.011a,Air Handling Unit,Each,,200,5,1,5840,5,1,,,,,,
D.30.52.011b,,Each,,300,5,1,11800,5,1,,,,,,
D.30.52.011c,,Each,,400,5,1,25040,5,1,,,,,,
D.30.52.011d,,Each,,400,5,1,37200,5,1,,,,,,
D.30.52.013a,,Each,,200,5,1,6040,5,1,,,,,,
D.30.52.013b,,Each,,200,5,1,5840,5,1,,,,,,
D.30.52.013c,,Each,,200,5,1,6040,5,1,200,5,1,5840,5,1
D.30.52.013d,,Each,,300,5,1,12100,5,1,,,,,,
D.30.52.013e,,Each,,300,5,1,11800,5,1,,,,,,
D.30.52.013f,,Each,,300,5,1,12100,5,1,300,5,1,11800,5,1
D.30.52.013g,,Each,,440,5,1,25480,5,1,,,,,,
D.30.52.013h,,Each,,400,5,1,25040,5,1,,,,,,
D.30.52.013i,,Each,,440,5,1,25480,5,1,400,5,1,25040,5,1
D.30.52.013j,,Each,,480,5,1,37680,5,1,,,,,,
D.30.52.013k,,Each,,400,5,1,37200,5,1,,,,,,
D.30.52.013l,,Each,,480,5,1,37680,5,1,400,5,1,37200,5,1
D.30.67.011a,Control panel,Each,,830,5,1,,,,,,,,,
D.30.67.012a,,Each,,100,5,1,930,5,1,,,,,,
D.30.67.012b,,Each,,830,5,1,,,,,,,,,
D.30.67.012c,,Each,,100,5,1,930,5,1,830,5,1,,,
D.40.11.021a,Fire sprinkler - water piping,Each (1000 ft pipe),,70,10,3,530,10,3,,,,,,
D.40.11.022a,,Each (1000 ft pipe),,70,10,3,530,10,3,,,,,,
D.40.11.023a,,Each (1000 ft pipe),,70,10,3,530,10,3,,,,,,
D.40.11.024a,,Each (1000 ft pipe),,70,10,3,530,10,3,,,,,,
D.40.11.031a,Fire sprinkler Drop,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.032a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.033a,,100 Units,,100,5,2,,,,,,,,,
D.40.11.034a,,100 Units,,100,5,2,,,,,,,,,
D.40.11.041a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.042a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.053a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.054a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.063a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.064a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.071a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.072a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.073a,,100 Units,,100,5,2,100,5,2,,,,,,
D.40.11.074a,,100 Units,,100,5,2,100,5,2,,,,,,
D.50.11.011a,Transformer,Each,,1515,5,1,,,,,,,,,
D.50.11.011b,,Each,,4850,5,1,,,,,,,,,
D.50.11.011c,,Each,,8540,5,1,,,,,,,,,
D.50.11.011d,,Each,,11400,5,1,,,,,,,,,
D.50.11.013a,,Each,,200,5,1,1715,5,1,,,,,,
D.50.11.013b,,Each,,1515,5,1,,,,,,,,,
D.50.11.013c,,Each,,200,5,1,1715,5,1,1515,5,1,,,
D.50.11.013d,,Each,,300,5,1,5150,5,1,,,,,,
D.50.11.013e,,Each,,4850,5,1,,,,,,,,,
D.50.11.013f,,Each,,300,5,1,5150,5,1,4850,5,1,,,
D.50.11.013g,,Each,,440,5,1,8980,5,1,,,,,,
D.50.11.013h,,Each,,8540,5,1,,,,,,,,,
D.50.11.013i,,Each,,440,5,1,8980,5,1,8540,5,1,,,
D.50.11.013j,,Each,,480,5,1,11880,5,1,,,,,,
D.50.11.013k,,Each,,11400,5,1,,,,,,,,,
D.50.11.013l,,Each,,480,5,1,11880,5,1,11400,5,1,,,
D.50.12.013a,Motor Control Center,Each,,830,5,1,,,,,,,,,
D.50.12.013b,,Each,,100,5,1,930,5,1,,,,,,
D.50.12.013c,,Each,,830,5,1,,,,,,,,,
D.50.12.013d,,Each,,100,5,1,930,5,1,830,5,1,,,
D.50.12.021a,Low Voltage Switchgear,Each,,1855,5,1,,,,,,,,,
D.50.12.021b,,Each,,3460,5,1,,,,,,,,,
D.50.12.021c,,Each,,5920,5,1,,,,,,,,,
D.50.12.021d,,Each,,10280,5,1,,,,,,,,,
D.50.12.023a,,Each,,100,5,1,1955,5,1,,,,,,
D.50.12.023b,,Each,,1855,5,1,,,,,,,,,
D.50.12.023c,,Each,,100,5,1,1955,5,1,1855,5,1,,,
D.50.12.023d,,Each,,160,5,1,3620,5,1,,,,,,
D.50.12.023e,,Each,,3460,5,1,,,,,,,,,
D.50.12.023f,,Each,,160,5,1,3620,5,1,3460,5,1,,,
D.50.12.023g,,Each,,240,5,1,6160,5,1,,,,,,
D.50.12.023h,,Each,,5920,5,1,,,,,,,,,
D.50.12.023i,,Each,,240,5,1,6160,5,1,5920,5,1,,,
D.50.12.023j,,Each,,240,5,1,10520,5,1,,,,,,
D.50.12.023k,,Each,,10280,5,1,,,,,,,,,
D.50.12.023l,,Each,,240,5,1,10520,5,1,10280,5,1,,,
D.50.12.031a,Distribution Panel,Each,,3710,5,1,,,,,,,,,
D.50.12.031b,,Each,,6920,5,1,,,,,,,,,
D.50.12.031c,,Each,,11840,5,1,,,,,,,,,
D.50.12.031d,,Each,,20560,5,1,,,,,,,,,
D.50.12.033a,,Each,,200,5,1,3910,5,1,,,,,,
D.50.12.033b,,Each,,3710,5,1,,,,,,,,,
D.50.12.033c,,Each,,200,5,1,3910,5,1,3710,5,1,,,
D.50.12.033d,,Each,,320,5,1,7240,5,1,,,,,,
D.50.12.033e,,Each,,6920,5,1,,,,,,,,,
